some_id,name,alternative_names,latitude,longitude,iso_alpha_2,region_id,population
1688797,San Pascual,"San - Paskual',San Pascual,Сан - Паскуаль",13.12888,122.97709,PH,5,5939
1688830,San Pablo,"Dakbayan sa San Pablo,Kota San Pablo,Lungsod ng San Pablo,San Pablo,San Pablo City,San Pablo Lakanbalen,Siyudad na San Pablo",14.0683,121.3256,PH,40,207577
1688838,San Pablo,San Pablo,10.91234,123.1418,PH,NIR,8046
1688859,San Nicolas,"San Nicolas,San Nicolas de Ilocos,San Nicolás de Ilocos",18.1725,120.5953,PH,1,34237
1688868,San Nicolas,San Nicolas,15.5841,120.6765,PH,3,9526
1688912,San Narciso,"San Narcisco,San Narciso",15.0143,120.0803,PH,3,15636
1688913,San Narciso,San Narciso,13.5677,122.5667,PH,40,11118
1688949,San Miguel,San Miguel,15.44397,120.59923,PH,3,18582
1688954,San Miguel,"San Miguel,San Muigel Mayumo",15.1423,120.97568,PH,3,65661
1688998,San Miguel,,10.78,122.46556,PH,6,8438
1689020,San Miguel,San Miguel,8.03,124.75389,PH,10,5054
1689052,San Mateo,San Mateo,16.88206,121.58694,PH,2,16233
1689056,San Mateo,San Mateo,14.6982,121.1236,PH,40,134327
1689080,San Mariano,"Angela,San Mariana,San Mariano",16.98265,122.01404,PH,2,12441
1689084,San Mariano,"Mariano,San Mariano",15.32083,120.87609,PH,3,5686
1689087,San Mariano,,7.5,126,PH,11,18668
1689099,San Marcelino,San Marcelino,14.97418,120.15733,PH,3,18721
1689106,San Manuel,"Callang,San Manuel",17.02375,121.63574,PH,2,9865
1689111,San Manuel,San Manuel,15.49053,120.66543,PH,3,5995
1689129,San Luis,San Luis,15.0401,120.7883,PH,3,33467
1689144,San Luis,"San - Luis,San Luis,Сан - Луис",8.47806,125.74389,PH,13,7109
1689145,San Luis,San Luis,8.48333,125,PH,10,6357
1689171,San Leonardo,San Leonardo,15.363,120.9639,PH,3,34743
1689268,San Juan,San Juan,15.2897,120.0648,PH,3,5034
1689286,San Juan,"San Juan,San Juan City,San Juan del Monte",14.6,121.0333,PH,NCR,121430
1689395,San Jose del Monte,"Kota San Jose del Monte,Lungsod ng San Jose del Monte,San Jose Del Monte,San Jose del Monte,San Jose del Monte City,San Jose del Monte Lakanbalen,San José Del Monte,San José del Monte,San-Khose-del'-Monte,sanhosedelmonte,Сан-Хосе-дель-Монте,산호세델몬테",14.81389,121.04528,PH,3,357828
1689416,San Jose,San Jose,17.15,121.6,PH,2,5905
1689448,San Jose,San Jose,15.0333,120.7833,PH,3,7461
1689498,San Jose,"Macaagnay,San Jose",13.35,123.55,PH,5,35768
1689510,San Jose,"Pandurucan,SJI,San Jose",12.35275,121.06761,PH,41,118807
1689554,San Jose,,9.80056,118.75694,PH,41,6079
1689562,San Jose,San Jose,7.73667,125.07028,PH,10,6345
1689603,San Jacinto,San Jacinto,16.0726,120.4383,PH,1,10529
1689607,San Jacinto,San Jacinto,12.5677,123.7337,PH,5,7637
1689663,San Isidro,San Isidro,15.02116,120.82019,PH,3,6093
1689787,San Isidro,,9.91667,123.88333,PH,7,9125
1689811,Batobato,"Batobato,San Isidro",6.82522,126.08458,PH,11,9714
1689832,San Ildefonso,San Ildefonso,15.0809,120.941,PH,3,65669
1689846,San Ignacio,San Ignacio,7.1189,126.48838,PH,11,6300
1689939,San Gabriel,San Gabriel,13.56667,123.1,PH,5,5065
1689954,Del Monte,"Del Monte,San Francisco del Monte",14.6418,121.0177,PH,40,11035
1689973,San Francisco,"Caysyan,San Francisco",15.35566,120.84001,PH,3,19570
1689994,Aurora,"Aurora,San Francisco",13.3476,122.5195,PH,40,16178
1690011,San Francisco,San Francisco,10.6461,124.3816,PH,7,8989
1690014,San Francisco,San Francisco,10.16018,124.31098,PH,7,5047
1690019,San Francisco,San Francisco,8.53556,125.95,PH,13,18542
1690033,San Fernando,"Dakbayan sa San Fernando,Kota San Fernando,Lungsod ng San Fernando,SFE,San Fernandas,San Fernando,San Fernando City,San Fernando Lakanbalen,San-Fernando,Siyudad na San Fernando,sanferunando,sanpeleunando,sheng fei er nan duo,Сан-Фернандо,سان فرنانڈو، لا یونین,サンフェルナンド,圣费尔南多,산페르난도",16.61591,120.31663,PH,1,83003
1690039,San Fernando,"Dakbayan sa San Fernando,Kota San Fernando,Lungsod ng San Fernando,San Fernando,San Fernando Lakanbalen,San-Fernando,Santo Rosario,Siyudad na San Fernando,Urbs Sancti Ferdinandi,sanferunando,sanpeleunando,sheng fei er nan duo,Сан Фернандо,Сан-Фернандо,سان فرنانڈو، پامپانگا,サンフェルナンド,圣费尔南多,산페르난도",15.03425,120.68445,PH,3,251248
1690043,San Fernando,"San - Fernando,San Fernando,Сан - Фернандо",13.5656,123.1453,PH,5,6345
1690045,San Fernando,"San - Fernando,San Fernando,Сан - Фернандо",12.4833,123.7622,PH,5,6211
1690060,San Fernando,San Fernando,10.1624,123.7076,PH,7,23706
1690086,"Poblacion, San Felipe",,15.06222,120.07,PH,3,14981
1690119,San Enrique,San Enrique,10.4161,122.8504,PH,6,9818
1690257,San Basilio,San Basilio,15.03341,120.58427,PH,3,8125
1690313,San Antonio,San Antonio,15.3062,120.856,PH,3,26247
1690321,San Antonio,San Antonio,14.94659,120.08673,PH,3,34217
1690433,San Andres,San Andres,14.05,121.21667,PH,40,5527
1690438,San Andres,San Andres,13.3227,122.6779,PH,40,5192
1690563,Sampao,Sampao,7.59389,125.66111,PH,11,8648
1690564,Sampao,Sampao,6.87667,124.59556,PH,12,5259
1690570,Sampaloc,"Sampaloc,Sampalok",14.5402,121.3602,PH,40,20157
1690582,Sampaloc,"Sampaloc,San Isidro,San Roque",14.1627,121.6396,PH,40,6743
1690664,Samal,"Samal,Самал",14.76778,120.54306,PH,3,29729
1690666,Samal,"Island Garden City of Samal,Kota Samal,Penaplata,Peñaplata,Pulung Lakanbalen Garden ning Samal,Samal,Sámal,Самал",7.07444,125.70833,PH,11,43526
1690729,Salvacion,Salvacion,10.68333,122.61667,PH,6,5565
1690741,Salvacion,Salvacion,7.99954,126.1248,PH,13,6090
1690774,Salug,"Salog,Salug,Salum",8.11472,122.78333,PH,9,6774
1690866,Salinungan Proper,"Salinongan,Salinungan,Salinungan Proper",16.86906,121.61454,PH,2,8110
