name,iso_code,latitude,longitude
"Usulutan",SV-14,13.422174,-88.468132
"Al Hasakah",SY-01,NULL,NULL
"Al Ladhiqiyah",SY-02,NULL,NULL
"Al Qunaytirah",SY-03,NULL,NULL
"Ar Raqqah",SY-04,NULL,NULL
"As Suwayda'",SY-05,NULL,NULL
"Dar",SY-06,NULL,NULL
"Dayr az Zawr",SY-07,NULL,NULL
"Dimashq",SY-13,NULL,NULL
"Halab",SY-09,NULL,NULL
"Hamah",SY-10,NULL,NULL
"Hims",SY-11,NULL,NULL
"Idlib",SY-12,NULL,NULL
"Rif Dimashq",SY-08,NULL,NULL
"Tartus",SY-14,NULL,NULL
"Hhohho",SZ-01,NULL,NULL
"Lubombo",SZ-02,-26.55,31.802285
"Manzini",SZ-03,NULL,NULL
"Praslin",SZ-05,NULL,NULL
"Shiselweni",SZ-04,NULL,NULL
"Batha",TD-01,13.782158,18.681625
"Biltine",TD-02,14.5307,20.924815
"Borkou-Ennedi-Tibesti",TD-03,18.68913,19.855669
"Chari-Baguirmi",TD-04,NULL,NULL
"Guera",TD-05,11.387535,18.603342
"Kanem",TD-06,14.566666,15.63487
"Lac",TD-07,13.766545,14.729583
"Logone Occidental",TD-08,NULL,NULL
"Logone Oriental",TD-09,8.291667,16.291666
"Mayo-Kebbi",TD-10,NULL,NULL
"Moyen-Chari",TD-11,9.158334,18.339196
"Ouaddai",TD-12,12.758333,21.414515
"Salamat",TD-13,10.81178,20.428268
"Tandjile",TD-14,9.595649,16.497499
"Amlame",TG-01,7.4543,0.9019
"Aneho",TG-02,NULL,NULL
"Atakpame",TG-03,7.525017,1.125518
"Badou",TG-15,7.5982,0.6266
"Bafilo",TG-04,9.343246,1.24226
"Bassar",TG-05,9.2651,0.7854
"Dapaong",TG-06,NULL,NULL
"Kante",TG-07,NULL,NULL
"Klouto",TG-08,NULL,NULL
"Kpagouda",TG-14,NULL,NULL
"Lama-Kara",TG-09,NULL,NULL
"Lome",TG-10,6.1228,1.2255
"Mango",TG-11,10.367909,0.466608
"Niamtougou",TG-12,9.766111,1.113331
"Notse",TG-13,NULL,NULL
"Sotouboua",TG-16,8.556385,0.983688
"Tabligbo",TG-17,6.583,1.4974
"Tchamba",TG-19,9.015612,1.414918
"Tchaoudjo",TG-20,NULL,NULL
"Tsevie",TG-18,6.420987,1.209735
"Vogan",TG-21,6.333333,1.266667
"Ang Thong",TH-35,NULL,NULL
"Buriram",TH-28,NULL,NULL
"Chachoengsao",TH-44,NULL,NULL
"Chai Nat",TH-32,NULL,NULL
"Chaiyaphum",TH-26,NULL,NULL
"Chanthaburi",TH-48,NULL,NULL
"Chiang Mai",TH-02,NULL,NULL
"Chiang Rai",TH-03,NULL,NULL
"Chon Buri",TH-46,NULL,NULL
"Chumphon",TH-58,NULL,NULL
"Kalasin",TH-23,NULL,NULL
"Kamphaeng Phet",TH-11,NULL,NULL
"Kanchanaburi",TH-50,NULL,NULL
"Khon Kaen",TH-22,NULL,NULL
"Krabi",TH-63,NULL,NULL
"Krung Thep",TH-40,NULL,NULL
"Lampang",TH-06,NULL,NULL
"Lamphun",TH-05,NULL,NULL
"Loei",TH-18,17.486709,101.494309
"Lop Buri",TH-34,15.075617,100.947713
"Mae Hong Son",TH-01,18.725606,97.998701
"Maha Sarakham",TH-24,NULL,NULL
"Mukdahan",TH-78,NULL,NULL
"Nakhon Nayok",TH-43,14.237058,101.209333
"Nakhon Pathom",TH-53,13.914143,100.083365
"Nakhon Phanom",TH-21,17.405801,104.395027
"Nakhon Ratchasima",TH-27,NULL,NULL
"Nakhon Sawan",TH-16,NULL,NULL
"Nakhon Si Thammarat",TH-64,NULL,NULL
"Nan",TH-04,NULL,NULL
"Narathiwat",TH-31,NULL,NULL
"Nong Khai",TH-17,17.884109,102.746597
"Nonthaburi",TH-38,NULL,NULL
"Pathum Thani",TH-39,NULL,NULL
"Pattani",TH-69,NULL,NULL
"Phangnga",TH-61,8.746739,98.169915
