name,iso_code,latitude,longitude
"Topolcani",MK-A7,NULL,NULL
"Valandovo",MK-A8,NULL,NULL
"Vasilevo",MK-A9,NULL,NULL
"Veles",MK-B1,NULL,NULL
"Velesta",MK-B2,41.24696,20.65213
"Vevcani",MK-B3,NULL,NULL
"Vinica",MK-B4,41.879848,22.513377
"Vitoliste",MK-B5,NULL,NULL
"Vranestica",MK-B6,NULL,NULL
"Vrapciste",MK-B7,NULL,NULL
"Vratnica",MK-B8,NULL,NULL
"Vrutok",MK-B9,41.76563,20.824766
"Zajas",MK-C1,41.593868,20.952858
"Zelenikovo",MK-C2,NULL,NULL
"Zelino",MK-C3,NULL,NULL
"Zitose",MK-C4,NULL,NULL
"Zletovo",MK-C5,41.981483,22.197522
"Zrnovci",MK-C6,NULL,NULL
"Bamako",ML-01,NULL,NULL
"Gao",ML-09,16.2668,-0.042694
"Kayes",ML-03,NULL,NULL
"Kidal",ML-10,18.444309,1.401523
"Koulikoro",ML-07,12.863795,-7.569686
"Mopti",ML-04,14.480395,-4.190015
"Segou",ML-05,13.439598,-6.268461
"Sikasso",ML-06,11.315983,-5.669683
"Tombouctou",ML-08,16.77206,-3.007782
"Chin State",MM-02,NULL,NULL
"Irrawaddy",MM-03,NULL,NULL
"Kachin State",MM-04,NULL,NULL
"Karan State",MM-05,NULL,NULL
"Kayah State",MM-06,NULL,NULL
"Magwe",MM-07,20.1253,94.9318
"Mandalay",MM-08,21.526697,95.859206
"Mon State",MM-13,NULL,NULL
"Pegu",MM-09,17.3291,96.4991
"Rakhine State",MM-01,NULL,NULL
"Rangoon",MM-14,16.867,96.1419
"Sagaing",MM-10,24.473055,95.52068
"Shan State",MM-11,NULL,NULL
"Tenasserim",MM-12,12.569545,97.854305
"Yangon",MM-17,NULL,NULL
"Arhangay",MN-01,48.081193,100.954934
"Bayan-Olgiy",MN-03,48.202342,89.95168
"Bayanhongor",MN-02,45.016666,99.325
"Bulgan",MN-21,48.779655,103.346699
"Darhan",MN-05,49.90258,106.175003
"Darhan Uul",MN-23,NULL,NULL
"Dornod",MN-06,48.266506,115.745317
"Dornogovi",MN-07,44.55355,109.866666
"Dundgovi",MN-08,45.4,106.365114
"Dzavhan",MN-09,48.283333,96.492791
"Erdenet",MN-22,48.988945,104.140419
"Govi-Altay",MN-10,46.100966,95.908333
"Govi-Sumber",MN-24,NULL,NULL
"Hentiy",MN-11,47.783333,110.458065
"Hovd",MN-12,47.337268,92.396063
"Hovsgol",MN-13,49.975,99.841666
"Omnogovi",MN-14,43.410993,103.741667
"Orhon",MN-25,NULL,NULL
"Ovorhangay",MN-15,45.797805,102.917962
"Selenge",MN-16,49.489476,106.425434
"Suhbaatar",MN-17,46.3,113.579001
"Tov",MN-18,47.598993,106.5
"Ulaanbaatar",MN-20,NULL,NULL
"Uvs",MN-19,49.718135,92.766792
"Ilhas",MO-01,NULL,NULL
"Macau",MO-02,22.201874,113.544202
"Adrar",MR-07,20.413935,-12.469033
"Assaba",MR-03,16.136835,-11.82893
"Brakna",MR-05,16.642385,-13.833333
"Dakhlet Nouadhibou",MR-08,20.88364,-17.041511
"Gorgol",MR-04,15.965265,-13.09689
"Guidimaka",MR-10,15.383333,-12.133333
"Hodh Ech Chargui",MR-01,16.491667,-7.092829
"Hodh El Gharbi",MR-02,16.322221,-9.672034
